Renate Reimann-Haas,DEU,Benckiser,relation,female
Renzo Rosso,ITA,Diesel,founder,male
Samuel Yin,Taiwan,Ruentex Group,,male
Sarik Tara,TUR,Enka insaat ve Sanayi,founder,male
Stefan Reimann-Andersen,DEU,Benckiser,relation,male
Stephan Schmidheiny,CHE,Holcim,relation,male
Terrence Pegula,USA,East Resources,founder,male
Wolfgang Reimann,DEU,Benckiser,relation,male
"Austen Cargill, II.",USA,Cargill,relation,male
Christoffel Wiese,ZAF,Shoprite,Exectuitve Director,male
Desh Bandhu Gupta,IND,Lupin Limited,founder,male
Frederick Smith,USA,FedEx,founder,male
George Lindemann,USA,"Vision Cable, Metro Mobile, Southern Union",Chairman and Chief Executive Officer,male
Gianluigi Aponte,CHE,MSC,founder,male
Heidi Horten,AUT,Horten AG,relation,female
Issad Rebrab,DZA,CEVITAL,founder,male
"James Cargill, II.",USA,Cargill,relation,male
"Julian Robertson, Jr.",USA,Tiger Management Corp,founder,male
Liu Yonghao,CHN,New Hope Group,founder,male
Lu Xiangyang,CHN,BYD,vice chairman,male
Marianne Liebmann,USA,Cargill,relation,female
Rafaela Aponte,CHE,MSC,founder,female
Spiro Latsis,GRC,EFG International,relation,male
Victor Pinchuk,UKR,Interpipe,founder,male
Alexander Svetakov,RUS,Absolut,owner,male
