AAC Technologies,1993,electronics,new,East Asia
Lee & Man Paper Manufacturing,1994,paper,new,East Asia
Arthrex Inc,1981,medical supplies,new,North America
ENSCO International,1986,hedge funds,new,North America
"Napster, Plaxo, Airtime",1999,internet companies,new,North America
Ty Inc.,1986,toys,new,North America
Metalloinvest/Coalco,1999,real estate and metals,new,Europe
Surgutneftegaz,1993,oil,privatization,Europe
Hikari Tsushin,1988,mobile phones,new,East Asia
Al-Futtaim Group,1930,trading,new,Middle East/North Africa
Sonae SGPS,1959,retail,aquired,Europe
CMPC,1920,timber and paper,new,Latin America
s.Oliver,1969,fashion,new,Europe
The Carphone Warehouse,1989,cell phones,new,Europe
SK Corporation,1958,"petrochemicals, textiles",new,East Asia
Zomba Group,1975,music,new,Europe
Gulf States Toyota Distributors,1969,automobiles,new,North America
DGI Group,1996,mining,new,Middle East/North Africa
Belcorp,1988,cosmetics,new,Latin America
Mediolanum SpA,1982,asset management,new,Europe
Famfa Limited,1991,fashion/oil,new,Sub-Saharan Africa
Corporation Gestamp SL,1958,steel,new,Europe
Waste Management,1968,waste management,new,North America
Pittsburgh Coke & Chemical,1942,coal,new,North America
Hubert Burda Media,1898,media,new,Europe
Environmental Systems Research Institute,1969,software,new,North America
Obrascon Huarte Lain S.A.,1911,construction,aquired,Europe
Aker Soulutions ASA,1841,oil,aquired,Europe
Drexel Burnham Lambert,1935,investment banking,new,North America
Garmin,1989,GPS technology,new,North America
Lippo Group,1948,banking,new,East Asia
JMB Realty,1969,real estate,new,North America
Foshan Haitian Flavoring and Food,1720,soy sauce,new,East Asia
Niarchos Ltd,1952,shipping,new,Europe
New Frontier Hotel and Casino,1942,casinos,aquired,North America
Nidec,1973,electronics,new,East Asia
Rational AG,1973,kitchen appliances,new,Europe
Playtech,1999,gambling software,new,Middle East/North Africa
Headington Oil,1978,oil,new,North America
East Line Group,1992,airport,new,Europe
Stephans Inc.,1933,financial services,new,North America
Ocwen Financial,1988,mortgages,new,North America
Li & Fung Group,1906,supply chain,new,East Asia
Wm Wrigley Jr. Company,1891,gum,new,North America
