1250,Wu Yajun,privatized and resources,Financial,True,not inherited
1251,Zhang Jindong,founder non-finance,Non-Traded Sectors,True,not inherited
1252,Zhang Xin,self-made finance,Financial,True,not inherited
1299,Vanich Chaiyawan,self-made finance,Financial,True,not inherited
1300,David Shaw,self-made finance,Financial,True,not inherited
1301,God Nisanov,self-made finance,Financial,True,not inherited
1302,Ian & Richard Livingstone,self-made finance,Financial,True,not inherited
1303,J. Christopher Reyes,executive,Non-Traded Sectors,True,not inherited
1304,Jan Kulczyk,privatized and resources,Non-Traded Sectors,True,not inherited
1305,Jerry Speyer,self-made finance,Financial,True,not inherited
1306,Jude Reyes,executive,Non-Traded Sectors,True,not inherited
1307,Maria-Elisabeth Schaeffler,inherited,Traded Sectors,True,spouse/widow
1308,Michael Platt,self-made finance,Financial,True,not inherited
1309,Reid Hoffman,founder non-finance,New Sectors,True,not inherited
1310,Sheldon Solow,self-made finance,Financial,True,not inherited
1311,Steven Rales,founder non-finance,Traded Sectors,True,not inherited
1312,Steven Udvar-Hazy,founder non-finance,0,True,not inherited
1313,Zarakh Iliev,self-made finance,Financial,True,not inherited
1314,Zhang Shiping,privatized and resources,Resource Related,True,not inherited
1315,Adi Godrej,inherited,Traded Sectors,True,3rd generation
1316,Andreas Struengmann,founder non-finance,New Sectors,True,not inherited
1317,Bernard Marcus,founder non-finance,Non-Traded Sectors,True,not inherited
1318,Evan Williams,founder non-finance,New Sectors,True,not inherited
1319,George Bishop,privatized and resources,Resource Related,True,not inherited
1320,"H. Ross Perot, Sr.",founder non-finance,New Sectors,True,not inherited
1321,Jamshyd Godrej,inherited,Traded Sectors,True,3rd generation
1322,Keiichiro Takahara,founder non-finance,Traded Sectors,True,not inherited
1323,Leon G. Cooperman,self-made finance,Financial,True,not inherited
1324,Lorenzo Mendoza,inherited,Traded Sectors,True,father
1325,Lu Guanqiu,self-made finance,Financial,True,not inherited
1326,Masatoshi Ito,founder non-finance,Non-Traded Sectors,True,not inherited
1327,Prince Sultan bin Mohammed bin Saud Al Kabeer,privatized and resources,Traded Sectors,True,not inherited
